CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,OFFICER_ID,REPORTING_DISTRICT,DAY_OF_WEEK,CHP_SHIFT,POPULATION,CNTY_CITY_LOC,SPECIAL_COND,BEAT_TYPE,CHP_BEAT_TYPE,CITY_DIVISION_LAPD,CHP_BEAT_CLASS,BEAT_NUMBER,PRIMARY_RD,SECONDARY_RD,DISTANCE,DIRECTION,INTERSECTION,WEATHER_1,WEATHER_2,STATE_HWY_IND,CALTRANS_COUNTY,CALTRANS_DISTRICT,STATE_ROUTE,ROUTE_SUFFIX,POSTMILE_PREFIX,POSTMILE,LOCATION_TYPE,RAMP_INTERSECTION,SIDE_OF_HWY,TOW_AWAY,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,PCF_CODE_OF_VIOL,PCF_VIOL_CATEGORY,PCF_VIOLATION,PCF_VIOL_SUBSECTION,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,ROAD_COND_2,LIGHTING,CONTROL_DEVICE,CHP_ROAD_TYPE,PEDESTRIAN_ACCIDENT,BICYCLE_ACCIDENT,MOTORCYCLE_ACCIDENT,TRUCK_ACCIDENT,NOT_PRIVATE_PROPERTY,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_PED_KILLED,COUNT_PED_INJURED,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,COUNT_MC_KILLED,COUNT_MC_INJURED,PRIMARY_RAMP,SECONDARY_RAMP,LATITUDE,LONGITUDE
"5403299",2012,20120402,1942,20120110,1730,"32230","1636","2","5","7","1942","0","0","0","P","0","2D252","SUNLAND BL","LA CANADA WY","549","E","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","11",21954,"A","N","G","B","D","A","H","-","C","A","0","Y","","","","Y","Y","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5403302",2012,20120302,1942,20120205,0205,"30575","","7","5","7","1942","0","0","0","","0","6D251","LEIMERT BL","43RD ST","57","S","N","A","-","N","",,,"","",,"","","","Y","1",1,1,3,"A","-","03",22350,"","N","E","I","A","A","H","-","C","D","0","","","","","Y","Y","A","01",0,0,1,0,0,0,0,0,0,"-","-",,
"5403321",2012,20120308,1942,20120214,1620,"39576","1708","2","5","7","1942","0","0","0","Q","0","16T28","SAN FERNANDO RD","SEPULVEDA BL","77","N","N","A","-","N","",,,"","",,"","","","Y","1",2,0,1,"A","-","03",22350,"","N","E","I","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"5403323",2012,20120306,1942,20120210,0300,"36946","0454","5","5","7","1942","0","0","0","D","0","1T15","S BOYLE AV","EAST 4TH ST","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,1,2,"A","-","12",21453,"A","F","D","C","A","A","H","-","C","A","0","","","","","Y","Y","A","",0,1,0,0,0,0,0,0,0,"-","-",,
"5403446",2012,20120320,1942,20120304,1020,"36752","1256","7","5","7","1942","0","0","0","L","0","12TL41","VERMONT AV","76TH ST","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,5,2,"A","-","12",21453,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,3,2,0,0,0,0,0,0,"-","-",,
"5403451",2012,20120320,1942,20120123,2220,"35925","1803","1","5","7","1942","0","0","0","R","0","12T41","SAN PEDRO ST","87TH PL","164","N","N","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"A","-","03",22350,"","N","E","I","A","B","H","-","C","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"5403452",2012,20120321,1942,20120202,1950,"89291","1211","4","5","7","1942","0","0","0","L","0","5T21","CRENSHAW BL","54TH ST","60","N","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21954,"A","N","G","B","D","A","H","-","C","A","0","Y","","","","Y","Y","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5403453",2012,20120320,1942,20120224,2300,"39397","1824","5","5","7","1942","0","0","0","R","0","18T23","MCKINLEY AV","104TH ST","126","S","N","A","-","N","",,,"","",,"","","","Y","1",1,0,3,"A","-","03",22350,"","N","D","C","A","A","H","-","C","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"5403454",2012,20120320,1942,20120203,0245,"31745","1245","5","5","7","1942","0","0","0","L","0","3T5","FLORENCE AV","DALTON AV","39","E","N","A","-","N","",,,"","",,"","","","Y","1",3,3,1,"A","-","01",23152,"A","N","E","I","A","A","H","-","C","A","0","","","","","Y","Y","A","01",2,0,1,0,0,0,0,0,0,"-","-",,
"5403455",2012,20120320,1942,20120310,1255,"38326","1781","6","5","7","1942","0","0","0","Q","0","19TL76","DE SOTO AV","NORDHOFF ST","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","09",21801,"A","F","D","C","A","A","H","-","A","A","0","","","Y","","Y","","-","99",0,0,0,0,0,0,0,1,0,"-","-",,
"5403486",2012,20120404,1942,20120309,1435,"36256","1231","5","5","7","1942","0","0","0","L","0","3T57W5","SLAUSON AV","EDGEMAR AV","170","W","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","09",21804,"A","N","D","C","A","A","H","-","A","D","0","","","Y","","Y","","A","08",0,0,0,0,0,0,0,1,0,"-","-",,
"5403517",2012,20120328,1942,20120121,1200,"40097","0819","6","5","7","1942","0","0","0","H","0","20TL56","HOLMBY AV","LINDBROOK DR","41","N","N","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"A","-","03",22350,"","N","E","I","A","A","H","-","A","D","0","","","","","Y","","A","07",0,0,0,0,0,0,0,0,0,"-","-",,
"5403538",2012,20120328,1942,20120308,2140,"38357","0249","4","5","7","1942","0","0","0","B","0","13T53","7TH ST","BIXEL ST","193","E","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21954,"A","N","G","B","D","A","H","-","C","D","0","Y","","","","Y","Y","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5403541",2012,20120328,1942,20120313,1830,"39317","0301","2","5","7","1942","0","0","0","C","0","3T5","ADAMS BL","CLOVERDALE AV","195","W","N","A","-","N","",,,"","",,"","","","N","1",1,1,2,"A","-","11",21953,"","N","G","B","D","A","H","-","A","A","0","Y","","","","Y","","A","01",0,0,1,1,0,0,0,0,0,"-","-",,
"5403543",2012,20120328,1942,20120313,2220,"37911","0627","2","5","7","1942","0","0","0","F","0","6T7","BEACHWOOD DR","LINFORTH DR","120","S","N","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"A","-","03",22350,"","N","E","I","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"5403545",2012,20120328,1942,20120315,2255,"33599","333","4","5","7","1942","0","0","0","","0","3T5","ADAMS BL","VICTORIA ST","86","W","N","A","-","N","",,,"","",,"","","","Y","1",1,1,2,"A","-","11",21954,"A","N","G","B","D","A","H","-","C","A","0","Y","","","","Y","","N","60",0,1,0,1,0,0,0,0,0,"-","-",,
"5403546",2012,20120328,1942,20120317,0635,"37080","1612","6","5","7","1942","0","0","0","P","0","16T23","GLENOAKS BL","MERCER ST","1","S","N","C","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","10",21950,"A","F","G","B","B","B","H","-","B","A","0","Y","","","","Y","","-","99",0,0,0,1,0,0,0,0,0,"-","-",,
"5403565",2012,20120404,1942,20120201,1605,"38569","363","3","5","7","1942","0","0","0","","0","3A99","BUCKINGHAM RD","PALMAYRA RD","137","S","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","11",21954,"A","N","G","B","D","A","H","-","A","D","0","Y","","","","Y","","N","",0,0,0,1,0,0,0,0,0,"-","-",,
"5403568",2012,20120502,1942,20120216,0810,"32654","0245","4","5","7","1942","0","0","0","B","0","6D254","6TH ST","CARONDELET ST","45","E","N","A","-","N","",,,"","",,"","","","Y","1",1,2,2,"A","-","01",23152,"A","F","A","C","A","A","H","-","A","D","0","","","","","Y","","A","07",1,0,1,0,0,0,0,0,0,"-","-",,
"5403573",2012,20120402,1942,20120217,0745,"38061","1343","5","5","7","1942","0","0","0","M","0","13TL55","AVALON BL","JEFFERSON ST","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,1,3,"A","-","09",21801,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-",,
"5403580",2012,20120402,1942,20120309,2130,"39317","1253","5","5","7","1942","0","0","0","L","0","3T5","FLORENCE AV","HAAS AV","15","W","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21950,"B","N","G","B","B","A","H","-","C","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5403589",2012,20120720,1942,20120317,0215,"38687","0932","6","5","7","1942","0","0","0","I","0","10T37","VICTORY BL","KESTER AV","144","W","N","C","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","11",21954,"A","F","G","B","D","B","H","-","C","D","0","Y","","","","Y","Y","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5518776",2012,20120326,1942,20120203,1615,"27134","1985","5","5","7","1942","0","0","0","","0","35M39","CHASE ST","TILDEN AV","100","W","N","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","09",21804,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-",,
"5518784",2012,20120323,1942,20120215,1140,"39575","1723","3","5","7","1942","0","0","0","Q","0","16T28","DESOTO AV","RINALDI ST","25","N","N","B","C","N","",,,"","",,"","","","N","4",0,1,2,"A","-","03",22350,"","F","C","C","A","B","H","-","A","A","0","","","","","Y","","-","99",0,0,1,0,0,0,0,0,0,"-","-",,
"5518788",2012,20120323,1942,20120217,1715,"39201","1987","5","5","7","1942","0","0","0","","0","10TL32","ROSCOE BL","RANCHITO BL","16","W","N","A","-","N","",,,"","",,"","","","Y","2",0,4,2,"A","-","05",21651,"A","F","A","C","A","A","H","-","B","A","0","","","","","Y","","A","01",2,1,1,0,0,0,0,0,0,"-","-",,
"5518792",2012,20120323,1942,20120208,0745,"36746","2158","3","5","7","1942","0","0","0","","0","DESK","DE SOTO AV","DE SOTO AV 6051","0","","-","A","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","- ",,"","F","H","B","D","A","H","-","A","D","0","Y","","","","Y","","-","99",0,0,1,0,1,0,0,0,0,"-","-",,
"5539590",2012,20120410,1942,20120204,1115,"39217","2187","6","5","7","1942","0","0","0","","0","10TL35","VENTURA BL","DE SOTO AV","90","W","N","A","-","N","",,,"","",,"","","","N","1",1,3,3,"A","-","05",21460,"A","N","A","C","A","A","H","-","A","D","0","","","","","Y","","A","01",2,1,0,0,0,0,0,0,0,"-","-",,
"5542012",2012,20120607,1942,20120130,0315,"34762","806","1","5","7","1942","0","0","0","","0","824","ROSCOMARE RD","CHALON RD","500","N","N","A","-","N","",,,"","",,"","","","Y","1",1,0,3,"A","-","03",22350,"","N","C","C","A","A","H","-","C","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"5542069",2012,20120608,1942,20120329,1930,"38633","0397","4","5","7","1942","0","0","0","C","0","5T21","MARTIN LUTHER KING JR BL","NORMANDIE AV","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,1,2,"A","-","09",21801,"","N","D","C","A","A","H","-","C","A","0","","","Y","","Y","","A","01",0,0,1,0,0,0,0,1,0,"-","-",,
"5542090",2012,20120719,1942,20120520,0330,"35474","0119","7","5","7","1942","0","0","0","A","0","4T43","CESAR E CHAVEZ AV","LYON ST","749","E","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","11",21956,"A","N","G","B","D","A","H","-","C","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5542091",2012,20120613,1942,20120520,0331,"35474","0119","7","5","7","1942","0","0","0","A","0","4T43","CESAR E CHAVEZ AV","LYON ST","834","E","N","A","-","N","",,,"","",,"","","","N","0",0,0,1,"C","-","18",,"","F","E","J","A","A","H","-","C","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
"5542103",2012,20120613,1942,20120504,1740,"36084","1531","5","5","7","1942","0","0","0","O","0","10TL32","COLDWATER CANYON AV","TIARA ST","0","S","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","08",22102,"","N","D","C","A","A","H","-","A","A","0","","","Y","","Y","","A","07",0,0,0,0,0,0,0,1,0,"-","-",,
"5542108",2012,20120613,1942,20120507,1720,"31667","1495","1","5","7","1942","0","0","0","N","0","6T7","WESTCHESTER PKWY","WILL ROGERS ST","418","E","N","A","-","N","",,,"","",,"","","","Y","1",1,1,2,"A","-","09",21802,"A","N","D","C","A","A","H","-","A","A","0","","","Y","","Y","","A","01",0,0,1,0,0,0,0,1,0,"-","-",,
"5542119",2012,20120613,1942,20120506,2155,"39565","2023","7","5","7","1942","0","0","0","","0","6T7","3RD ST","NORMANDIE AV","145","W","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","11",21954,"A","N","G","B","D","A","H","-","C","D","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5542120",2012,20120614,1942,20120514,0625,"30452","1723","1","5","7","1942","0","0","0","Q","0","9T53","DESOTO AV","RINALDI ST","754","N","N","A","-","N","",,,"","",,"","","","Y","1",1,1,3,"A","-","03",22350,"","N","D","C","A","A","H","-","A","D","0","","","","Y","Y","","A","01",0,0,1,0,0,0,0,0,0,"-","-",,
"5542144",2012,20120619,1942,20120519,0015,"36336","1721","6","5","7","1942","0","0","0","Q","0","17T17","TOPANGA CANYON BL","SANTA SUSANA PASS RD","895","N","N","A","-","Y","LA",7,27,"-","-",19.55,"H","-","N","Y","1",1,0,2,"A","-","03",22350,"","N","C","C","A","A","H","-","D","A","0","","","Y","","Y","","C","02",0,0,0,0,0,0,0,1,0,"-","-",,
"5542145",2012,20120614,1942,20120510,1100,"37952","0235","4","5","7","1942","0","0","0","B","0","13TL53","TEMPLE ST","CORONADO ST","87","W","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"B","-","22",,"","N","G","B","F","A","-","-","A","D","0","Y","","","Y","Y","","F","26",0,0,0,1,0,0,0,0,0,"-","-",,
"5542147",2012,20120615,1942,20120426,2010,"38825","1213","4","5","7","1942","0","0","0","L","0","12T41","SLAUSON","WESTERN AV","19","N","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","11",21955,"","N","D","B","D","A","H","-","C","A","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5542148",2012,20120619,1942,20120428,0045,"38825","1863","6","5","7","1942","0","0","0","R","0","18T27","IMPERIAL HWY","LANZIT AV","57","W","N","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"A","-","03",22350,"","N","E","I","A","A","H","-","C","D","0","","","Y","","Y","Y","C","02",0,0,0,0,0,0,0,1,0,"-","-",,
"5542188",2012,20120620,1942,20120407,0407,"38444","1881","6","5","7","1942","0","0","0","R","0","3TL57","VERMONT","ALONDRA","0","N","N","A","-","N","",,,"","",,"","","","Y","1",1,0,5,"A","-","03",22350,"","N","G","B","E","A","H","-","A","D","0","Y","","","","Y","","A","01",0,0,0,1,0,0,0,0,0,"-","-",,
"5542208",2012,20120619,1942,20120425,1205,"36752","1841","3","5","7","1942","0","0","0","R","0","18T23","108TH ST","DENVER AV","240","E","N","A","-","N","",,,"","",,"","","","Y","1",1,4,4,"A","-","05",21650,"","N","B","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,4,0,0,0,0,0,0,0,"-","-",,
"5542212",2012,20120619,1942,20120520,2340,"34959","0719","7","5","7","1942","0","0","0","G","0","8T35","BEVERLY BL","ROSSMORE AV","143","W","N","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"A","-","03",22350,"","N","E","I","A","A","H","-","C","D","0","","","Y","","Y","","C","02",0,0,0,0,0,0,0,1,0,"-","-",,
"5542229",2012,20120621,1942,20120521,2025,"31667","0847","1","5","7","1942","0","0","0","H","0","6T7","OLYMPIC BL","BEVERLY GLEN BL","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","09",21801,"A","N","D","C","A","A","H","-","C","A","0","","","Y","","Y","","A","07",0,0,0,0,0,0,0,1,0,"-","-",,
"5542237",2012,20120621,1942,20120511,2056,"38477","1569","5","5","7","1942","0","0","0","O","0","15T45","CAHUENGA BL","LANKERSHIM BL","473","N","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","11",21954,"A","N","G","B","E","A","H","-","C","A","0","Y","","","","Y","","N","60",0,0,0,1,0,0,0,0,0,"-","-",,
"5542242",2012,20120621,1942,20120529,1545,"37611","0145","2","5","7","1942","0","0","0","A","0","2TL28","5TH ST","LOS ANGELES ST","12","W","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","10",21950,"A","N","G","B","B","A","H","-","A","A","0","Y","","","Y","Y","","F","27",0,0,0,1,0,0,0,0,0,"-","-",,
"5542245",2012,20120621,1942,20120528,2300,"40460","0638","1","5","7","1942","0","0","0","F","0","6T7","FRANKLIN AV","ARGYLE AV","24","E","N","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","03",22350,"","N","D","C","A","A","H","-","C","A","0","","","Y","","Y","","C","02",0,0,0,0,0,0,0,1,0,"-","-",,
"5542254",2012,20120621,1942,20120529,0840,"32996","1102","2","5","7","1942","0","0","0","K","0","13TL55","SAN FERNANDO RD","GOODWIN AV","168","N","N","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"C","-","18",,"","N","E","I","A","A","H","-","A","D","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
"5542269",2012,20120622,1942,20120601,2115,"39028","0376","5","5","7","1942","0","0","0","C","0","3TL5","DENKER AV","EXPOSITION BL","15","S","N","A","-","N","",,,"","",,"","","","Y","1",1,1,2,"A","-","11",21456,"B","N","G","B","D","A","H","-","C","A","0","Y","","","","Y","","N","60",1,0,0,1,0,0,0,0,0,"-","-",,
"5542271",2012,20120622,1942,20120608,0200,"38980","1798","5","5","7","1942","0","0","0","Q","0","17T17","NORDHOFF ST","GAVIOTA AV","167","W","N","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","03",22350,"","F","C","G","A","A","H","-","C","D","0","","Y","","","Y","","-","99",0,0,0,0,0,1,0,0,0,"-","-",,
"5542272",2012,20120622,1942,20120422,0030,"39397","0315","7","5","7","1942","0","0","0","C","0","18T23","ARLINGTON AV","25TH ST","202","S","N","B","-","N","",,,"","",,"","","","Y","1",1,2,1,"A","-","03",22350,"","N","A","I","A","A","H","-","C","A","0","","","","","Y","Y","A","01",2,0,0,0,0,0,0,0,0,"-","-",,
"5542296",2012,20120626,1942,20120519,1455,"37146","0559","6","5","7","1942","0","0","0","E","0","5TL89","NAVY WY","REEVES AV","3000","S","N","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"A","-","03",22350,"","N","E","I","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"5542333",2012,20120705,1942,20120302,1800,"39975","1797","5","5","7","1942","0","0","0","Q","0","9TL54","ROSCOE BL","HAYVENHURST AV","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,0,2,"A","-","12",21453,"A","N","D","C","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"5542334",2012,20120705,1942,20120614,2345,"36814","0111","4","5","7","1942","0","0","0","A","0","2T15","FIGUEROA ST","SUNSET BL","639","S","N","A","-","N","",,,"","",,"","","","Y","1",1,5,2,"A","-","03",22350,"","N","D","C","A","A","H","-","C","D","0","","","","","Y","","A","01",1,4,0,0,0,0,0,0,0,"-","-",,
"5542339",2012,20120705,1942,20120617,0155,"36901","1345","7","5","7","1942","0","0","0","M","0","4T43","CENTRAL AV","42ND PL","0","","Y","A","-","N","",,,"","",,"","","","N","1",1,0,2,"A","-","10",21950,"C","N","G","B","E","A","H","-","C","A","0","Y","","","","Y","Y","-","99",0,0,0,1,0,0,0,0,0,"-","-",,
"5542342",2012,20120919,1942,20120620,1145,"39473","1664","3","5","7","1942","0","0","0","P","0","16TL25","GLENOAK BL","TRUESDALE ST","449","N","N","A","-","N","",,,"","",,"","","","Y","1",2,2,2,"A","-","03",22350,"","N","A","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,2,0,0,0,0,0,0,0,"-","-",,
"5542376",2012,20120710,1942,20120430,1556,"26699","0622","1","5","7","1942","0","0","0","F","0","34MQ8","MULHOLLAND DR","FLOYE DR","263","E","N","B","-","N","",,,"","",,"","","","Y","1",1,0,1,"A","-","03",22350,"","N","E","I","A","A","G","-","A","D","0","","","Y","","Y","","C","02",0,0,0,0,0,0,0,1,0,"-","-",,
"5542391",2012,20120710,1942,20120622,1940,"37686","0806","5","5","7","1942","0","0","0","H","0","8T35","SUNSET BL","CAROLWOOD DR","95","W","N","A","-","N","",,,"","",,"","","","Y","1",1,0,1,"A","-","03",22350,"","N","E","I","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"5542398",2012,20120710,1942,20120625,2135,"38477","1782","1","5","7","1942","0","0","0","Q","0","15T45","PARTHENIA ST","CORBIN AV","472","W","N","A","-","N","",,,"","",,"","","","Y","1",1,2,2,"A","-","01",23152,"A","N","B","C","A","A","H","-","C","A","0","","","","","Y","Y","A","08",0,0,2,0,0,0,0,0,0,"-","-",,
"5542405",2012,20120712,1942,20120616,0235,"39177","0313","6","5","7","1942","0","0","0","C","0","3T5","ADAMS BL","CRENSHAW BL","0","","Y","A","-","N","",,,"","",,"","","","Y","1",1,1,2,"A","-","01",23152,"A","N","D","C","A","A","H","-","C","A","0","","","","","Y","Y","A","01",0,1,0,0,0,0,0,0,0,"-","-",,
